Swing Arm Length (mm),Counterweight (g),Projectile weight (g),Distance (mm),Treatment num.,Treat mean
320,450,6.5,3740,4,4100
320,450,6.5,4240,4,
320,450,6.5,4320,4,
320,600,6.5,5190,5,4911.66666666667
320,600,6.5,4585,5,
320,600,6.5,4960,5,
320,750,6.5,5465,7,5706.66666666667
320,750,6.5,6280,7,
320,750,6.5,5375,7,
320,450,19.5,1840,3,1448.33333333333
320,450,19.5,1130,3,
320,450,19.5,1375,3,
320,600,19.5,2790,8,2843.33333333333
320,600,19.5,2900,8,
320,600,19.5,2840,8,
320,750,19.5,3650,1,3563.33333333333
320,750,19.5,3480,1,
320,750,19.5,3560,1,
400,450,6.5,3055,2,3488.33333333333
400,450,6.5,3890,2,
400,450,6.5,3520,2,
400,600,6.5,3995,6,4178.33333333333
400,600,6.5,4525,6,
400,600,6.5,4015,6,
400,750,6.5,4780,9,4711.66666666667
400,750,6.5,4675,9,
400,750,6.5,4680,9,
400,450,19.5,910,12,906.666666666667
400,450,19.5,915,12,
400,450,19.5,895,12,
400,600,19.5,1965,10,2098.33333333333
400,600,19.5,2085,10,
400,600,19.5,2245,10,
400,750,19.5,2535,11,2488.33333333333
400,750,19.5,2375,11,
400,750,19.5,2555,11,
